@Ids_Hmi,15:44 - 24 mars 2013,Nan !! il vont enlever les blagues des #Carambar  c'est des ouf faut pas laisser faire sa !!,
@TaniaDCF,21:50 - 21 mars 2013,Ay Caramba ! Manquerait plus qu'ils trouvent une solution pour que ça ne colle plus aux dents... #Carambar http://mobile.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@Nouvellesdumond,21:46 - 21 mars 2013,EN IMAGES. Découvrez les nouvelles devinettes Carambar http://goo.gl/R0KoH  #Carambar #Découvrez #devinettes #images #nouvelles,
@46ruedemalville,21:24 - 21 mars 2013,#carambarKhalti t'as vu KaderIl est parti à l'onterrementAllah i rahmou l'enterrement de quiL'onterrement de football,
@paulinee77,21:01 - 21 mars 2013,Les blagues Carambar c'est fini! C'est comme si jte disais tu manges une papillotte sans pétard! Allo quoi! #LesPhrasesQuiFontPeur #carambar,
@FranceFoire,19:32 - 21 mars 2013,@SOShomophobie Vous arrivez à stimuler quelques égarés en faisant croire que la communauté Gay toute entière vote à Gauche ? #Carambar,
@Mendy97two,19:20 - 21 mars 2013,Sinon personne n'a pris l'importance de mon tweet: #Carambar ne vas plus mettre de blague dans ses bonbons O.O #CestGrave !!!!!!!!,
@BenjaminKeys,18:36 - 21 mars 2013,Quand @ThierryMoreauT7 annonce la fin des blagues #carambar sur #TPMP en même temps#FPRCF4 soupçonne la blague du 1er avril...,
@julie_joule,17:57 - 21 mars 2013,Le mythe s'arrête #Carambar,
@Skhaen,17:56 - 21 mars 2013,Génie ! RT @AdrienneAlixJe propose de mettre des articles de #Wikipédia dans les #carambar s'il faut cultiver la jeunesse ! #Idéedusoir,
@MadameCroque,17:55 - 21 mars 2013,#Carambar qui arrête ses blagues c'est à cause de la concurrence déloyale d'Hollande?,
@JulienCotel,17:55 - 21 mars 2013,Mon vice ma drogue ! #carambar http://instagram.com/p/XI_J3SjZap/ ,
@melaura_mi,17:48 - 21 mars 2013,c'est comme tes potes que tu connais depuis des années et qui racontent que des blagues 'pas marrantes' et que tu aimes malgré çà #CARAMBAR,
@NilSanyas,17:44 - 21 mars 2013,RT @AdrienneAlix: Je propose de mettre des articles de #Wikipédia dans les #carambar s'il faut cultiver la jeunesse ! #Idéedusoir,
@TousLesLoisirs,17:44 - 21 mars 2013,RT @lehuffpostKraft Foods confirme l'arrêt des blagues #Carambar le 15/04. http://huff.to/14a6HD8 Si c'est une blague c'est pas drôle ;-),
@KellyCorbeau,17:39 - 21 mars 2013,Culture en guimauve. #Carambar .,
@KellyCorbeau,17:39 - 21 mars 2013,L'éducation à base de sucre. #Carambar .,
@yohann_anais,17:38 - 21 mars 2013,ils arreten les blagues #carambar j'ai l'impression de perdre une partit de ma jeunesse,
@KellyCorbeau,17:37 - 21 mars 2013,Fini les sourires sucrés à la cour de récré. #Carambar,
@misterjool,17:36 - 21 mars 2013,@AdrienneAlix Et moi je propose que quitte à cultiver la jeunesse on leur apprenne à bouffer autre chose que du #carambar :),
@Chiaraetmoi,17:31 - 21 mars 2013,RT @julie_adore: - Qui du marin ou de l'aviateur écrit moins?- Le marin car il a jeté l'ancre!#carambar,
@JulienStPhll,17:31 - 21 mars 2013,Le gros bad de 1H30 du mat. Les blagues #Carambar c'est fini. Over. Basta. Zouh. Du balais. http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … Une petite mort ...,
@BN_A_CROQUER,17:26 - 21 mars 2013,Les Carambars ne seront jamais plus les mêmes.... #Carambar :(,
@Numendil,17:26 - 21 mars 2013,+10000 RT @AdrienneAlix: Je propose de mettre des articles de #Wikipédia dans les #carambar s'il faut cultiver la jeunesse ! #Idéedusoir,
@mawzideilan,17:24 - 21 mars 2013,Trahison de l'industrie après la disparition de gros quick et du banga #tweetprecedent #carambar,
@Lionlaunay,17:17 - 21 mars 2013,@abonfillon75 @puremedias : non ? Sans blague ?? #carambar,
@magnifyk,17:09 - 21 mars 2013,Bientôt la fin des blagues #Carambar | Atlantico http://flip.it/W9Xit  #in #v,
@pierre_billet,17:07 - 21 mars 2013,#Carambar RT @Guigro: Ca c'est de la news triste :( http://fb.me/1DuzYJxjp ,
@DorianLger,17:00 - 21 mars 2013,La fin des blagues dans les #Carambar c'est bien plus grave que l'affaire #Sarkozy #Bettencourt ! Merde,
@TahShoo,17:00 - 21 mars 2013,Du coup les blagues #carambar reviennent ou pas ?,
@MICHEL_Nezard,16:48 - 21 mars 2013,@MICHEL_Nezard @AgatheDpls @ArthurDeschmps Arthur faut que tu arrêtes de lire les blagues #carambar sur les femmes au volant ^^,
@mikael_musico,16:46 - 21 mars 2013,1) pourquoi le foot c'est rigolo? 2) que font 2 brosses à dents le 14 juillet ? #carambar,
@RibotJulien,16:41 - 21 mars 2013,Apparemment il n'y a plus aucune blague de libre dans le monde ! Le 15 avril fin des #blagues #Carambar !,
@FarahBoughedada,16:41 - 21 mars 2013,Fin des blagues #carambar le 25 mars toute une tradition qui s'envole. #nostalgie #bonbons #nouveautes #buzz,
@Thomas_Charles,16:40 - 21 mars 2013,Oh non Carambar arrête ses blagues - http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229  #carambar #cetaitmieuxavant #tristesse #findumonde #blague,
@guillaumegaret,16:38 - 21 mars 2013,Le même soir on apprend la fin des blagues #Carambar et la mise en examen de Nicolas #Sarkozy : c'est moche les hasards de la vie...,
@Yannis_Bourmad,16:37 - 21 mars 2013,Tragique ! http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php … #Carambar,
@Charlyto47,16:35 - 21 mars 2013,@jmmaireofficiel #carambar arrête ses blagues et met des exercices educ à la place...JeanMi on fait grève de la faim ?#tpmp,
@joseshungu,16:32 - 21 mars 2013,Je raconte beaucoup de blagues en soirée car en bar...(http://laderniereblog.blogspot.fr ) #carambar,
@Elodiehdz,16:25 - 21 mars 2013,@laurenesturm non mais tu bosses pour #Carambar ??? Possible mais...,
@carinecurrit,16:23 - 21 mars 2013,RIP blagues #Carambar,
@araknidezo,16:21 - 21 mars 2013,Choc des infos #Carambar arrête les blagues et  #Sarkozy est mis en examen.,
@pitchounette013,16:20 - 21 mars 2013,Et si les blagues Carambar c'était terminé? http://20min.fr/a/1123065  via @20minutes Fin des blgues #Carambar ? La fin d'une belle époque...,
@florin_clo,16:20 - 21 mars 2013,#carambar a mis du temps pour comprendre... http://lemde.fr/13g66R8 ,
@M_Bonneville,16:19 - 21 mars 2013,#Sarkozy arrête les blagues et #carambar mis en examen les titres du jour!,
@NickyRaspberry,16:19 - 21 mars 2013,Quand y en a marre y a .... Ah non compte plus sur #carambar,
@G_ael,16:19 - 21 mars 2013,#Carambar arrête les blagues et passe à des quiz ludo-éducatifs... C'est #drôle ça! #bonbon #marketing #compic.twitter.com/6A5WJTwZw3,
@Jaxsan1,16:17 - 21 mars 2013,J'espère qu'on ne va pas retirer les jouets dans les Kinder Surprise!! #Carambar,
@HecqDavid,16:16 - 21 mars 2013,#collector : A vendre 3 authentiques #Carambar édition early 2013 jamais mâchés par mes enfants. Prix de départ : 1€ pic.twitter.com/ji6To5qKlC,
@Sarah_2_0,16:15 - 21 mars 2013,Après on se demande pq les antidépresseurs sont de + en + prescrits. Ben simplement parce qu'on rit de moins en moins ! cfr #carambar,
@marionh84,16:12 - 21 mars 2013,Quoi ? La fin des blagues #carambar ?!? Où va-t-on ma bonne dame ?,
@Sarah_2_0,16:12 - 21 mars 2013,Plus de blagues dans les #Carambar. Ce monde devient morose :(  @Carambar_France,
@FourierMaxence,16:10 - 21 mars 2013,Plus de tweet #carambar,
@bettyblue_33,16:10 - 21 mars 2013,Cochez dans cette liste les noms des hommes politiques déjà mis en examen (plusieurs choix possibles) #nouvellesblagues #Carambar,
@KarineRohou,16:09 - 21 mars 2013,#Carambar perd le sens de l'humour  pas drôle...http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php …,
@nicolasantonini,16:06 - 21 mars 2013,Quand y'en a marre ? Il y aura toujours Carambar quand même ?#carambar #lastblague,
@Nouvellesdumond,16:05 - 21 mars 2013,Carambar arrête ses blagues http://goo.gl/ohza1  #Arrêté #blagues #Carambar,
@PierreLannoy,16:05 - 21 mars 2013,Bon et à part ça la dernière blague #carambar vous en pensez quoi : triste évolution ou coup de buzz ?,
@KerimKemence,16:05 - 21 mars 2013,#Carambar arrête ses blagues!!! Adieu ma source d'inspiration comment vais-je faire? #blagues http://www.franceinfo.fr/societe/carambar-arrete-les-blagues-927191-2013-03-21 …,
@tixlegeek,16:04 - 21 mars 2013,http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/#xtor=RSS-3208 … #Carambar #Blague #NouveauConcept #MoiJTrouveCaCool,
@HecqDavid,16:03 - 21 mars 2013,La fin d'une époque tout fout le camp m'a p'tite dame ! “@FrederiqueBel: T un #Carambar et t'as pas de blague ?http://tempsreel.nouvelobs.com/vu-sur-le-web/20130321.OBS2653/blagues-carambar-chronique-d-une-mort-annoncee.html?fb_action_ids=10200790031696175&fb_action_types=og.recommends&fb_source=other_multiline&action_object_map=%7B%2210200790031696175%22%3A447088825359930%7D&action_type_map=%7B%2210200790031696175%22%3A%22og.recommends%22%7D&action_ref_map=%5B%5D …”,
@mikafrom,16:02 - 21 mars 2013,Avec l'arrêt des blagues #Carambar @ThierryMoreauT7 est un peu orphelin ce soir... #TPMP,
@KurtRyder07,16:02 - 21 mars 2013,Maintenant les blagues #Carambar seront remplacées par les blagounettes du chansonnier #Hollande ...,
@oilm4n,15:58 - 21 mars 2013,Certainement la pire... – #Carambar arrête ses blagues - http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229  #NotFunny,
@ThomasWuillai,15:51 - 21 mars 2013,#Carambar arrête les blagues ! C'est la meilleur qu'ils ont jamais sorti bien joue !,
@betibidean,15:50 - 21 mars 2013,Fin des blagues #Carambar. Ce monde est sérieux. pic.twitter.com/tCiWsy8pJq,
@Axel_VF,15:49 - 21 mars 2013,Plus de blague #Carambar : J'hésite entre ENFIN et NEUOOOONNNNNNN ! http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229 ,
@PhiliGus,15:47 - 21 mars 2013,@christopheconte Pas certain que la Fédération des Syndicats des Dentistes Libéraux partage votre avis #Carambar #www.fsdl.fr,
@RomainBavuz,15:47 - 21 mars 2013,La fin des blagues #Carambar ... la fin d'une époque.,
@pizza_prod,15:46 - 21 mars 2013,#carambar arrête les blagues. C'est là qu'on voit qu'on s'enfonce un peu plus dans la crise.,
@RabaTaJoie,15:45 - 21 mars 2013,Et là Sarkozy et le Conseil constitutionnel c'est fini comme blague ou toujours pas? #Carambar,
@florianclabau,15:42 - 21 mars 2013,Communication #Carambar La #blague . Ça sent le #buzzviral à plein nez. Je mise sur une chute le #1eravril. http://bcove.me/fjg4f34o  #twitos,
@umaj,15:41 - 21 mars 2013,@yolandetorre Mais où les n'enfants vont-ils apprendre des blagues à 2 balles maintenant??? #carambar,
@Sounjarello,15:40 - 21 mars 2013,Arrêtez tout ! #Carambar arrête de publier des blagues ! Je propose une manif géante !,
@madame_BL,15:40 - 21 mars 2013,.@JeannePrat Sérieusement ? Prochaine étape suites arithmétiques et chimie organique derrière les paquets de chocopops. #carambar,
@san10gold,15:39 - 21 mars 2013,C'était quoi le problème avec les blagues #carambar ?? http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@xanxanlatulipe,15:38 - 21 mars 2013,Les gens qui regrettent les blagues #carambar n'en ont pas mangé depuis longtemps. Parce que leurs blagues ça n'est plus ce que c'était.,
@Retrophelie,15:38 - 21 mars 2013,#Carambar se lance dans le ludo-éducatif à partir du 15/04 ? Dites-moi pas que c'est pas vrai ! http://bit.ly/14fmPDV ,
@bibear,15:35 - 21 mars 2013,La résistance au changement c'est qq chose quand même ... #Carambar,
@dahduhdah,15:33 - 21 mars 2013,#Carambar m'a tuer (sic) #RIP,
@dutoitlaurent6,15:32 - 21 mars 2013,: Pour finir d'enterrer les blagues #Carambar Parabole au balcon Mohamed au salon,
@palmipode,15:31 - 21 mars 2013,@Valvert yep la plus bad des blagues #carambar du jour. Goodnight,
@MXV339,15:31 - 21 mars 2013,Allô ! Nan mais allô quoi… T'es un #Carambar et t'as pas de blague ? © O.Roubin,
@LucieFrl,15:29 - 21 mars 2013,#Carambar intox? #buzz,
@Retrophelie,15:29 - 21 mars 2013,La blague #Carambar ce serait fini ? On ne respecte plus rien ma bonne dame !http://bit.ly/YuLWLG ,
@tbernard_,15:26 - 21 mars 2013,@chloeariot @lemondefr  Les blagues #Carambar vivront toujours dans notre mémoire...,
@tityah,15:24 - 21 mars 2013,#Carambar va retirer ses histoires drôles  http://www.lessentiel.lu/fr/lifestyle/tendances/story/28167550 …,
@PhiliGus,15:23 - 21 mars 2013,@lemondefr @antoinedecaune1 Une petite dernière: Sarkosy n'était pas bon à l'école il était Bettencourt #Carambar #Sarkozy #L'Oreal,
@PtitePoucette,15:22 - 21 mars 2013,#RIP la blagounette #Carambar. You'll be missed.,
@UE_ACP,15:21 - 21 mars 2013,#Carambar qui souhaite désormais être sérieux mine de rien ils finissent avec leur meilleur blague,
@kaosdroid,15:20 - 21 mars 2013,Voila pourquoi les cons finissent toujours par l'emporter sur la raison.Les blagues #carambarc'est fini.,
@Alis0nSlidjia,15:18 - 21 mars 2013,Je vais les sortir d'où mes #blagues maintenant?De mon slip magique?(Ah non c'est bon je me fait tjr rire) #Carambar http://www.liberation.fr/vous/2013/03/21/blagues-carambar-plus-dure-sera-la-chute_890305 …,
@Dans_Ta_faaaace,15:18 - 21 mars 2013,#Carambar,
@barbeneli,15:17 - 21 mars 2013,#Carambar arrête ses blagues. Et ceci n'en est pas une ! http://lemde.fr/13g66R8 ,
@clement_omnes,15:17 - 21 mars 2013,Mise en examen de #Sarkozy / Arrêt des blagues #carambar / Coïncidence? Je ne crois pas!,
@marion_p_r,15:16 - 21 mars 2013,Une fille sans shampoing c'est comme un #carambar sans blague non mais allô quoi!!! @lemondefr: http://lemde.fr/13g66R8 ,
@RICE_Energy,05:16 - 18 avr. 2019, #VilleneuveLaGarenne by #drone épisode 2 ! On prend un peu de hauteur pour découvrir l'avancée des #travaux de notre futur centre de recherche. On a hâte de le voir fini ! Et vous ?  @GRTgaz @ericcourtalon @fredericmoulin1pic.twitter.com/Uxja686hh2,
@neonemesis,15:15 - 21 mars 2013,oh ba non les blagues #carambar c'est fini ;'( http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/?utm_source=dlvr.it&utm_medium=twitter#xtor=RSS-3208 …,
@omerrot,15:14 - 21 mars 2013,PAS DRÔLE – #Carambar arrête ses blagues  http://bit.ly/11pg8hM ,
@MZiruddu,15:14 - 21 mars 2013,“@LeNouvelObs: Fini de rire : #Carambar arrêterait ses blagues &gt;&gt; http://bit.ly/162Nguu ” ça rigole plus chez Carambar #rigueur,
@VivienTouly,15:13 - 21 mars 2013,Les blagues #Carambar c'est fini ! C'est la fin de l'#humour... http://www.leparisien.fr/laparisienne/societe/les-blagues-carambar-c-est-fini-21-03-2013-2659191.php …,
@GregCoch5978,15:13 - 21 mars 2013,Mais comment vais je amuser la galerie  sans mes blagues #carambar ? Toute une partie de ma jeunesse qui part !,
@erwanoz,15:12 - 21 mars 2013,Fin des blagues #carambarFin d’une époqueFin d’un mytheFin d’un petit plaisir coupable,
@mariepanagoulis,15:11 - 21 mars 2013,#Carambar met un terme à ses devinettes pour les remplacer par des exercices ludo-éducatifs http://bigbrowser.blog.lemonde.fr?p=36229bigbrowser.blog.lemonde.fr/?p=36229  #jedisnon,
@GDoisy,15:10 - 21 mars 2013,Chez #KraftFoods ils sont en forme en ce moment : On se trouve un nom de merde #Mondelez et on flingue #Carambar #Wrongway,
@OuerFelguson,15:10 - 21 mars 2013,#Carambar met fin à ses blagues dans ses emballages http://goo.gl/bFWWH ,
@baosoulshiner,15:09 - 21 mars 2013,La fin des blagues #Carambar annoncée pour le 15 avril 2013 http://huff.to/14a6FLy ,
@Algo_Rythmes,15:09 - 21 mars 2013,@LeNainXG: Noooooooon ! #Carambar arrête les blagues http://bit.ly/YcycLr  et les remplace par des devinettes en #maths et français,
@BWSHOOT,15:07 - 21 mars 2013,#Carambar arrête les blagues. Que les auteurs se rassurent. #Ruquier ne devrait pas tarder à les contacter.,
@Lyyth,15:05 - 21 mars 2013,Punaise vais faire mes réserves de #Carambar No way que je me retrouve avec des combien font 2+2 veux mes blagues toutes pourrites ! x],
@foxhound4ever,15:05 - 21 mars 2013,#Carambar arrête ses blagues - http://goo.gl/9ilAC ,
@PaulChassais,15:04 - 21 mars 2013,Non mais allô quoi t'es un #Carambar et t'as pas de blague allô.,
@MargowMargow,15:02 - 21 mars 2013,#Carambar annonce la fin de ses blagues ! Quel malheur ^^! via @TeleLoisirs. http://partage.tele-loisirs.fr/?action=news&id=38752&title=Carambar%20annonce%20la%20fin%20de%20ses%20blagues%20!&date=1363882020&url=http://www.programme-tv.net/news/buzz/38752-carambar-annonce-fin-ses-blagues/&image=http://static.programme-tv.net/var/actualites-tele-large/3/38752-carambar-annonce-fin-ses-blagues.jpg?2105 …,
@CcileEtienne,15:02 - 21 mars 2013,“@franckconfino: L'annonce de l'arrêt des blagues #Carambar c'est un buzz réussi pour le 1er avril non ?” J'espère...,
@mochcomtout,15:01 - 21 mars 2013,#Carambar va remplacer les blagues par des textes ludo-éducatifs. #souvenir #triste,
@PaulChassais,14:59 - 21 mars 2013,What? Les blagues #Carambar sont remplacées par des questions d'orthographe? C'est la fin d'une ère! http://huff.to/ZfNrwh ,
@TXaavier,14:57 - 21 mars 2013,@TXaavier Ludoeducatif #carambar,
@ausiouane,14:57 - 21 mars 2013,Après la mise à la retraite de #Groquik et de monsieur #Malabar c'est au tour de #Carambar de changer #ToutFoutLeCamp http://www.lefigaro.fr/culture/2013/03/21/03004-20130321ARTFIG00607-carambar-perd-le-sens-de-l-humour.php …,
@VSKinGZ,14:56 - 21 mars 2013,#Carambar arrête les blagues! Voilà la plus belle de ses blagues!,
@Flo_Comm,14:56 - 21 mars 2013,#Carambar aurait apparemment lancé le débat: blagues ou plus de blagues?! Les fans ont peur tremblent frémissent. Suspense!,
@gregensel,14:55 - 21 mars 2013,RT @lemondefr : Carambar arrête ses blagues petit coup de vieux #carambar #toutfoutlecamp http://bigbrowser.blog.lemonde.fr/2013/03/21/pas-drole-carambar-arrete-ses-blagues/ …,
@Commelind,14:55 - 21 mars 2013,Enfin! fini les blagues pourries de Carambar RT@LeNouvelObs: Fini de rire : #Carambar arrêterait ses blagues >> http://bit.ly/162Nguu ”,
@karinecoeur,14:55 - 21 mars 2013,En même temps c'est peut-être pas plus mal... RT @lemonde Carambar arrête ses blagues http://lemde.fr/13g66R8  #carambar #finduneepoque,
@EmilieNegre,14:54 - 21 mars 2013,NoooOooOn !! #Carambar arrête les blagues http://www.franceinfo.fr/societe/carambar-arrete-les-blagues-927191-2013-03-21 … via @franceinfo,
